,KEYWORD,STATE
0,economy,ne
1,travelpulse,mt
2,,vi
3,logo,nh
4,logo,ct
5,handylady,mo
6,havent,sc
7,laundry,me
8,service,nj
9,missing,wv
10,lyft,pa
11,lyft,wy
12,uberx,ri
13,service,or
14,,gu
15,uberx,tn
16,miraclemonday,co
17,promo,mi
18,lyft,il
19,jobs,de
20,uberx,nc
21,lyft,dc
22,transforming,az
23,promo,ok
24,dryvyng,ks
25,geoffreywhiteho,la
26,havent,ms
27,follow,al
28,lyft,nm
29,vomiting,nd
30,logo,mn
31,lyft,ma
32,spotify,sd
33,1st,wi
34,service,md
35,logo,id
36,,as
37,newsbreakslive,ky
38,doctor,fl
39,uberx,ga
40,sundance,ut
41,,mp
42,lyft,tx
43,miraclemonday,wa
44,first,va
45,drunk,ia
46,logo,in
47,startup,ca
48,news,nv
49,berniesanders,vt
50,partner,hi
51,logo,ny
52,newsbreakslive,ar
53,promo,oh
54,10,pr
55,travelpulse,ak
56,vomiting,na
