,STATE,CITY
0,ca,san francisco
1,ca,los angeles
7,nv,las vegas
8,nv,las vegas
9,nv,las vegas
10,nv,las vegas
11,nv,las vegas
12,nv,las vegas
13,nv,las vegas
14,ny,new york
23,nv,las vegas
24,nv,las vegas
25,nv,las vegas
26,nv,las vegas
27,nv,las vegas
28,nv,las vegas
29,nv,las vegas
35,wi,
37,mi,detroit
41,tx,houston
48,ca,los angeles
49,ut,
52,ca,
55,ca,
59,ca,
61,de,
62,ca,
64,hi,
66,ca,
68,ca,
69,ca,
70,il,chicago
73,ca,
74,ca,
78,il,chicago
81,ny,new york
99,tx,houston
104,ca,
112,ca,
114,ca,san francisco
117,mi,detroit
119,ca,san francisco
124,ca,
135,ca,
151,ca,
157,ca,
165,ca,
168,ky,
170,tx,
171,ca,
174,ca,san francisco
179,tx,san antonio
180,az,
181,hi,
213,tx,houston
215,dc,washington
229,ca,
241,va,
242,hi,
244,tx,fort worth
297,ny,
300,ca,san francisco
311,dc,washington
315,la,los angeles
316,az,phoenix
318,az,phoenix
319,ca,los angeles
321,mi,
323,nc,
330,ma,boston
332,hi,
333,tx,houston
338,tx,
343,ca,
344,tx,
345,pa,
346,ca,
349,ca,
350,ca,
351,ca,
352,ca,
354,ca,
355,la,
356,ca,los angeles
358,ca,los angeles
360,ca,los angeles
363,tx,houston
364,hi,
368,wa,seattle
374,tx,
378,de,
395,pa,philadelphia
402,hi,
408,il,chicago
410,wa,seattle
414,ny,new york
420,wa,seattle
426,az,
435,oh,
436,ca,san francisco
440,hi,
451,ca,los angeles
453,al,
454,tx,austin
457,ny,new york
461,ny,
463,ca,san diego
465,tx,houston
466,tx,houston
470,ny,new york
472,ca,
476,tx,dallas
479,co,
484,or,
485,il,chicago
490,ny,
493,co,denver
494,co,denver
495,co,denver
496,va,
514,dc,washington
515,co,denver
521,fl,
522,ny,
523,ny,
529,ny,new york
530,nc,
534,il,chicago
543,il,chicago
544,ma,boston
545,ky,
552,nc,
555,ny,new york
560,nc,
564,ca,san francisco
565,nv,las vegas
586,nv,las vegas
587,ca,
588,ca,
589,ca,
592,ca,
601,ca,
607,ca,
609,ca,
612,ca,
614,ca,
615,ny,
616,nm,
619,ca,
620,ca,
621,ca,
622,ca,
623,ca,
624,ca,
626,ca,
627,ca,
628,ca,
629,az,
632,oh,columbus
638,nj,
639,ca,los angeles
642,az,phoenix
643,ca,san francisco
647,nv,las vegas
648,ca,
650,ny,new york
651,nv,las vegas
652,al,
657,ca,los angeles
658,co,
668,ca,san francisco
674,tx,houston
678,ny,
680,ny,new york
684,il,chicago
685,ca,los angeles
696,il,chicago
697,ca,san diego
705,il,chicago
708,de,
714,az,phoenix
716,ca,san francisco
717,ca,san diego
718,co,denver
719,ca,los angeles
720,ca,los angeles
721,ny,
722,tx,
725,ca,san francisco
726,il,
727,hi,
729,ny,new york
731,tn,
733,ny,new york
736,co,denver
738,ma,boston
739,il,chicago
741,nj,
744,md,baltimore
754,tx,
757,de,
759,ca,
760,ca,los angeles
762,ct,
770,ca,san diego
773,ny,new york
775,ny,
776,ca,san diego
780,ny,new york
783,tx,houston
792,or,portland
794,il,
795,ca,san francisco
798,ma,
801,nc,charlotte
802,mn,
804,la,los angeles
805,la,los angeles
806,mn,
809,la,
812,nh,
816,ca,san francisco
817,ca,san diego
819,ca,los angeles
820,ca,
825,ny,new york
828,ny,new york
829,co,
830,oh,
831,ca,san francisco
832,ny,new york
834,hi,
839,ca,
840,tx,austin
844,ny,new york
847,ca,san francisco
848,ny,new york
852,ca,san francisco
856,il,chicago
885,ny,boston
889,ca,
891,ca,los angeles
893,ca,san diego
894,or,
897,pa,philadelphia
900,mo,
901,ca,san diego
903,dc,washington
904,va,
909,ca,
911,ca,
913,ma,boston
914,wa,seattle
915,ca,san francisco
916,wi,
917,ny,
924,ca,
933,co,denver
934,co,denver
938,va,
942,ca,los angeles
943,ca,
944,ca,
945,ca,
946,ca,
953,ca,
960,wa,washington
966,ny,new york
969,ca,
972,wa,washington
974,ca,
978,ca,
984,ia,
986,co,denver
989,ca,los angeles
990,hi,
993,il,chicago
994,ny,new york
995,ca,
1002,ca,
1003,ca,
1004,tx,san antonio
1006,ca,los angeles
1011,ca,san diego
1012,hi,
1014,tx,
1016,ca,los angeles
1017,ca,san diego
1018,dc,washington
1019,mo,
1030,fl,
1031,ca,san francisco
1034,ny,new york
1035,ca,san francisco
1036,ny,new york
1038,ca,san diego
1041,tx,houston
1042,ca,
1043,or,portland
1044,va,
1047,dc,washington
1050,hi,
1052,ca,los angeles
1057,az,phoenix
1060,tx,
1066,fl,
1070,ny,new york
1073,mn,
1080,ga,
1086,nc,
1090,dc,washington
1091,ny,new york
1102,ca,
1106,wa,
1108,in,indianapolis
1109,nv,las vegas
1110,nv,las vegas
1111,nv,las vegas
1112,nv,las vegas
1113,nv,las vegas
1114,nv,las vegas
1115,nv,las vegas
1116,ca,san francisco
1119,nv,las vegas
1121,ma,boston
1122,co,
1124,ca,
1125,dc,austin
1130,ca,
1131,dc,washington
1132,md,
1133,ca,
1141,tx,fort worth
1143,nv,las vegas
1146,hi,
1150,ny,philadelphia
1152,ca,san francisco
1155,or,
1159,va,
1167,ca,san diego
1168,dc,washington
1175,ca,los angeles
1179,nc,
1183,ca,san diego
1188,ca,
1190,tx,
1193,ma,boston
1194,ca,
1197,md,
1199,ca,
1201,ma,boston
1220,tx,
1226,ny,new york
1236,nc,
1239,ca,los angeles
1241,tx,
1242,md,baltimore
1247,ma,
1249,ca,
1251,nh,
1257,tx,austin
1258,il,chicago
1262,dc,washington
1263,hi,
1265,ca,
1276,nv,
1277,nc,
1279,nc,
1280,ne,
1283,tx,dallas
1284,il,
1286,mi,detroit
1288,ny,new york
1296,hi,
1300,mi,detroit
1309,ca,los angeles
1310,ca,
1315,ca,
1316,tx,austin
1318,ca,
1320,ca,
1321,in,
1322,ny,philadelphia
1324,fl,
1327,dc,
1338,ny,
1340,hi,
1342,ca,
1343,ca,
1344,ca,
1345,ca,
1346,ca,
1347,ca,
1353,va,
1356,fl,jacksonville
1359,ca,
1360,fl,jacksonville
1361,ca,
1368,il,chicago
1372,fl,
1373,dc,washington
1374,ca,
1378,or,portland
1380,ca,los angeles
1385,il,chicago
1404,ca,
1420,ny,new york
1426,co,denver
1431,ga,
1434,il,
1437,wa,seattle
1440,ca,
1443,nj,
1450,hi,
1451,tx,austin
1452,tx,austin
1453,tx,
1485,ca,los angeles
1488,ca,
1491,tx,
1492,hi,
1496,ny,
1501,ca,san francisco
1504,ca,
1510,tx,
1511,wa,seattle
1519,nv,las vegas
1529,nv,las vegas
1535,ca,
1539,wa,seattle
1541,ny,
1544,ga,
1550,ma,boston
1551,nj,
1552,ca,
1553,ca,
1555,tx,
1566,il,chicago
1567,tx,
1569,tx,houston
1577,fl,jacksonville
1584,il,
1585,nj,
1590,dc,washington
1598,ca,san francisco
1603,ny,
1604,ny,
1605,ct,
1606,ca,
1607,ny,new york
1610,ct,
1615,wa,
1617,ca,san diego
1621,md,baltimore
1623,ca,los angeles
1624,ny,new york
1625,tn,memphis
1626,ut,
1627,tx,san antonio
1628,tx,dallas
1629,in,indianapolis
1630,ca,
1631,ny,new york
1632,az,phoenix
1633,oh,
1634,pa,philadelphia
1635,az,phoenix
1636,fl,
1637,mo,
1639,la,los angeles
1640,ne,
1641,mn,
1642,mn,
1644,al,
1645,nc,charlotte
1646,wi,milwaukee
1647,ok,
1648,ny,new york
1649,wi,milwaukee
1650,dc,washington
1651,ok,
1652,ny,
1653,co,denver
1654,ny,new york
1655,fl,
1656,tx,houston
1657,il,chicago
1658,ca,los angeles
1659,ma,boston
1660,ga,
1662,ma,boston
1663,mi,detroit
1664,ca,
1665,mo,
1666,tx,
1667,il,chicago
1668,co,denver
1669,tn,
1670,ca,los angeles
1672,mi,detroit
1673,oh,
1674,pa,philadelphia
1675,dc,washington
1676,ga,
1677,ca,los angeles
1678,ca,
1679,il,chicago
1680,ny,new york
1681,fl,
1682,tx,houston
1683,ut,
1684,ca,
1685,ca,los angeles
1688,fl,jacksonville
1689,ga,
1690,ks,
1691,fl,
1692,sc,
1693,ms,
1694,nc,charlotte
1695,fl,
1696,ma,boston
1697,tx,austin
1698,va,
1699,or,
1700,wa,seattle
1701,wv,
1702,sc,
1703,la,los angeles
1704,ia,
1705,tn,
1706,mi,
1707,mi,
1708,ny,new york
1709,id,
1711,pa,
1712,nj,
1713,al,
1714,nc,
1715,ny,
1716,in,
1717,tx,
1718,wi,
1719,pa,philadelphia
1721,ny,new york
1722,ny,new york
1723,ny,new york
1727,ny,new york
1728,ny,new york
1732,pa,philadelphia
1736,hi,
1745,tx,austin
1752,tx,austin
1754,ca,los angeles
1759,ca,
1764,nc,
1767,ca,los angeles
1768,tx,austin
1774,ca,
1783,fl,
1796,fl,
1798,ca,
1803,ca,
1805,mi,
1806,mi,
1807,mi,
1812,ca,
1813,ca,
1814,fl,
1822,ca,san francisco
1823,ny,new york
1834,tx,houston
1837,ny,new york
1839,dc,washington
1840,tx,austin
1841,nv,las vegas
1844,ca,
1846,pa,
1852,ca,
1853,ca,
1860,co,denver
1862,ca,los angeles
1863,ca,los angeles
1872,ny,philadelphia
1877,ca,san francisco
1882,ca,los angeles
1885,tx,austin
1888,ca,
1897,ca,
1901,ny,new york
1917,ca,
1926,ca,
1931,hi,
1939,ny,new york
1941,md,
1946,ny,new york
1948,ca,
1949,ca,
1950,ca,
1951,ca,
1953,ca,
1954,ny,new york
1955,md,baltimore
1957,tx,
1964,in,
1968,ct,
1973,tx,dallas
1983,il,chicago
1999,ca,san francisco
2000,il,chicago
2019,md,baltimore
2024,tx,austin
2030,mi,detroit
2035,fl,
2038,pa,
2052,tx,
2054,tn,
2055,tx,austin
2059,pa,philadelphia
2068,mi,detroit
2071,ma,boston
2072,mn,
2075,ma,boston
2077,tx,austin
2078,ca,
2089,dc,washington
2093,fl,
2094,oh,
2097,ca,san francisco
2103,oh,
2112,ca,
2117,ca,
2120,wa,seattle
2124,dc,washington
2133,ca,
2138,ca,san francisco
2143,ca,los angeles
2147,tx,austin
2151,hi,
2152,la,
2153,tx,
2154,hi,
2156,tx,san antonio
2157,tx,san antonio
2161,ny,new york
2170,tx,
2174,nv,las vegas
2175,co,denver
2178,hi,
2179,oh,
2184,ca,
2188,ca,
2192,ca,
2195,ca,
2200,ca,
2206,co,denver
2214,ct,
2215,tx,
2216,ct,
2217,ny,
2220,ny,
2221,ny,
2236,wi,
2239,nv,
2240,ca,san diego
2241,ca,
2244,md,baltimore
2246,fl,jacksonville
2252,ca,san diego
2254,il,
2258,tx,dallas
2262,tx,austin
2263,mi,
2264,ga,
2265,tx,
2279,ca,los angeles
2282,tx,san antonio
2288,ca,
2290,ny,new york
2292,ca,
2295,dc,washington
2312,ca,
2313,ga,
2321,nv,
2322,tx,
2324,ca,
2330,oh,
2333,il,chicago
2338,ca,san jose
2341,ny,new york
2347,mi,detroit
2350,tx,
2352,fl,
2355,ny,new york
2357,hi,
2360,tn,
2365,md,
2370,ga,
2379,ca,
2382,ca,
2388,ca,los angeles
2395,ca,san jose
2398,dc,washington
2401,pa,philadelphia
2402,ga,
2404,il,chicago
2410,oh,
2415,tx,
2420,va,
2421,mo,
2437,md,baltimore
2455,ny,
2473,ny,new york
2474,ca,
2477,ny,new york
2478,hi,
2479,ca,
2480,ca,
2481,ca,
2482,ca,
2484,ca,
2488,nc,charlotte
2492,ca,los angeles
2493,va,
2497,pa,
2498,ma,boston
2499,ms,
2500,il,chicago
2506,ma,boston
2519,tn,
2520,ma,boston
2528,fl,
2531,tx,houston
2538,nc,
2568,ma,boston
2576,co,denver
2577,dc,washington
2586,ny,new york
2597,tx,houston
2607,tx,houston
2611,ny,new york
2618,hi,
2633,tx,houston
2645,ma,boston
2649,ny,new york
2665,il,chicago
2666,ny,new york
2668,ny,new york
2669,ny,
2670,ny,new york
2671,ny,new york
2680,ny,new york
2681,ny,new york
2682,nj,
2683,tn,
2684,ny,new york
2686,ny,new york
2697,fl,
2699,il,chicago
2700,oh,columbus
2707,fl,
2713,fl,
2714,fl,
2720,ks,
2721,ca,san diego
2726,ca,los angeles
2735,ca,los angeles
2738,oh,
2739,il,chicago
2747,mn,
2748,il,chicago
2750,ma,
2753,co,
2754,az,
2757,ct,
2777,ca,
2787,il,
2789,md,
2792,tn,
2801,ca,san francisco
2816,ma,boston
2819,ca,los angeles
2820,ca,san diego
2826,ny,new york
2831,ca,
2842,tx,
2844,ky,
2865,ca,
2867,co,
2875,ma,boston
2883,ny,new york
2893,ca,
2894,ca,
2895,ca,
2896,ca,
2897,ca,
2899,dc,washington
2907,ny,new york
2919,tx,austin
2959,ca,
2963,mi,detroit
2981,tx,austin
3023,ma,
3037,ca,los angeles
3040,ga,
3049,nj,
3051,ma,
3054,ca,
3055,ca,san jose
3075,il,
3085,il,chicago
3109,ca,san diego
3123,fl,
3125,tx,
3127,ca,los angeles
3130,tx,
3133,tx,
3143,ca,
3144,co,denver
3153,nv,
3155,ca,
3169,nv,las vegas
3170,wi,milwaukee
3172,ca,
3173,md,baltimore
3187,nv,las vegas
3205,va,
3206,nv,las vegas
3209,il,chicago
3222,nv,las vegas
3245,ca,
3246,wa,washington
3255,ca,
3271,tx,
3273,tx,
3274,ca,
3275,ca,
3276,ca,
3277,ca,
3278,ca,
3280,ca,
3286,il,chicago
3292,ca,
3308,ny,new york
3323,ca,san francisco
3327,ny,new york
3329,tx,
3354,tx,fort worth
3360,ca,san francisco
3369,ny,new york
3417,nv,las vegas
3419,ca,
3420,ca,
3422,ca,san francisco
3434,hi,
3445,tx,
3452,ca,los angeles
3457,il,
3466,il,chicago
3470,ca,
3478,wa,
3497,tx,
3499,tx,houston
3502,tx,
3529,al,
3534,ny,new york
3553,ca,san francisco
3570,tn,
3572,dc,washington
3573,ca,
3583,ca,san francisco
3584,ca,san francisco
3590,ca,san francisco
3599,co,denver
3600,fl,
3601,ca,
3610,fl,
3611,ca,
3616,ca,
3620,ca,
3628,ca,
3629,ca,
3632,ca,
3635,oh,
3638,ut,
3639,ky,
3641,ca,
3646,il,chicago
3647,al,
3649,ca,
3651,ca,los angeles
3654,ca,
3658,ca,
3660,tx,
3661,ca,
3662,ca,
3668,hi,
3671,ca,san francisco
3672,tx,austin
3676,il,chicago
3678,ca,
3685,nj,
3686,tx,houston
3688,ca,
3690,ca,san francisco
3691,ny,
3696,pa,
3697,wa,seattle
3700,ca,
3701,ca,
3702,ca,
3707,ca,
3712,ca,
3713,ca,
3719,ca,
3726,ca,
3728,ca,
3730,ca,
3731,ca,
3732,ca,
3733,ca,
3734,ca,
3735,ny,new york
3736,il,chicago
3741,ca,
3742,ca,
3746,ca,
3753,ca,
3754,fl,
3755,ny,new york
3757,ca,san francisco
3764,tx,houston
3765,tx,houston
3767,ny,
3770,ca,los angeles
3772,ny,new york
3775,il,
3791,nv,las vegas
3792,nv,las vegas
3793,nv,las vegas
3794,nv,las vegas
3795,nv,las vegas
3796,nv,las vegas
3797,nv,las vegas
3806,va,
3808,nj,
3811,ca,
3814,wa,seattle
3819,wv,
3825,ny,new york
3826,mo,
3829,ca,san francisco
3843,ny,new york
3846,dc,washington
3851,mn,
3855,la,los angeles
3856,ca,
3861,ma,boston
3862,va,
3863,tx,
3864,tx,
3866,tx,houston
3872,ca,
3878,pa,philadelphia
3881,ny,new york
3882,ca,
3888,ca,
3901,in,
3904,ga,
3909,pa,
3916,sc,
3918,nj,
3923,fl,
3932,ok,
3934,tx,
3940,de,
3941,ny,
3946,ca,los angeles
3948,md,
3959,ca,
3964,ny,new york
3965,nv,las vegas
3966,nv,las vegas
3967,nv,las vegas
3968,nv,las vegas
3969,nv,las vegas
3970,nv,las vegas
3988,nj,
3996,ny,new york
3998,fl,
3999,nv,las vegas
4000,nv,las vegas
4001,nv,las vegas
4002,nv,las vegas
4003,nv,las vegas
4004,nv,las vegas
4005,nv,las vegas
4006,tx,dallas
4008,ca,
4009,ny,new york
4014,ny,new york
4016,ca,los angeles
4018,ny,new york
4019,ny,new york
4020,ca,
4021,ma,boston
4025,ok,
4026,ca,san francisco
4029,ma,boston
4039,ca,
4044,or,portland
4045,va,
4047,la,los angeles
4053,il,chicago
4058,ny,new york
4059,ny,new york
4060,tx,houston
4063,ny,new york
4065,pa,philadelphia
4066,ca,san francisco
4075,ca,los angeles
4076,hi,
4079,tx,houston
4080,ma,boston
4087,ca,
4089,wa,seattle
4090,ky,
4092,ca,los angeles
4093,wa,seattle
4094,il,chicago
4105,sc,
4107,ca,san francisco
4109,va,
4110,az,phoenix
4126,tx,houston
4127,ca,san francisco
4128,il,chicago
4129,ny,new york
4132,ca,los angeles
4139,ca,
4140,ca,
4141,ca,
4142,ca,
4144,ca,
4151,ca,
4155,ca,
4158,wa,seattle
4160,mn,
4165,ca,
4167,fl,
4168,ca,los angeles
4169,ny,
4172,ks,
4175,fl,
4178,ca,
4179,il,chicago
4191,ca,
4192,fl,
4200,ca,san francisco
4206,fl,
4210,ny,
4225,fl,
4226,wa,seattle
4233,ca,san diego
4237,tx,
4239,oh,
4243,ca,
4244,az,phoenix
4248,md,baltimore
4249,ny,new york
4251,il,chicago
4253,ny,new york
4258,ny,new york
4259,tx,san antonio
4263,ny,new york
4269,ca,
4270,oh,
4280,tx,san antonio
4281,tx,san antonio
4285,tx,san antonio
4288,ca,san francisco
4292,il,chicago
4299,ma,boston
4301,ma,boston
4303,sc,
4304,oh,
4305,wa,washington
4306,tx,san antonio
4310,fl,
4311,il,chicago
4313,va,
4314,ca,los angeles
4316,ca,san jose
4323,nc,
4332,ca,san francisco
4341,ca,san francisco
4343,dc,washington
4344,fl,
4345,ca,los angeles
4351,ny,new york
4355,ca,san francisco
4358,mo,
4359,il,
4361,il,chicago
4362,ca,
4366,az,
4368,il,chicago
4372,ca,
4373,ny,new york
4375,ca,san francisco
4377,il,chicago
4379,ca,los angeles
4381,az,phoenix
4382,az,
4386,fl,
4388,ma,boston
4394,ca,los angeles
4395,ca,los angeles
4397,ca,
4401,ca,los angeles
4403,ca,
4404,fl,
4411,ca,
4420,ca,san francisco
4422,ca,los angeles
4423,ca,san francisco
4426,oh,
4427,il,chicago
4428,tx,houston
4431,oh,
4434,ca,los angeles
4441,ca,los angeles
4452,co,denver
4453,ca,
4458,wa,
4465,ca,
4472,ca,
4481,az,phoenix
4483,ca,los angeles
4486,wa,seattle
4487,tx,
4494,nj,
4496,fl,
4498,ca,los angeles
4500,ny,new york
4503,ca,san francisco
4512,ca,
4516,ne,
4518,ma,boston
4530,tx,houston
4536,ny,new york
4537,ca,
4542,ca,
4551,md,baltimore
4554,il,chicago
4556,il,chicago
4563,ca,
4566,pa,philadelphia
4569,ca,san francisco
4570,ca,
4571,ca,los angeles
4572,ky,
4576,wa,seattle
4581,ca,
4582,ca,
4583,ca,
4584,ca,
4585,ca,
4588,ca,los angeles
4592,ma,boston
4598,ny,phoenix
4599,ca,los angeles
4602,co,
4604,ut,
4611,il,chicago
4614,ca,san francisco
4619,fl,
4620,ca,san francisco
4622,nh,
4627,nj,
4630,ca,
4660,wi,
4665,ny,new york
4668,ma,boston
4671,oh,
4673,ca,
4683,fl,
4691,fl,
4695,or,portland
4701,ca,los angeles
4704,sc,
4708,ca,san diego
4709,ca,san diego
4712,ca,los angeles
4713,ca,san francisco
4723,ca,san diego
4725,ca,san jose
4727,tx,
4732,il,chicago
4733,ma,boston
4735,ma,boston
4747,tx,austin
4748,ca,
4750,nv,las vegas
4751,ma,boston
4752,ma,
4755,id,
4757,ca,san francisco
4759,tx,houston
4766,dc,washington
4768,ca,los angeles
4769,ca,los angeles
4770,tx,san antonio
4771,tx,austin
4773,hi,
4775,ny,
4777,tx,austin
4782,va,
4785,il,chicago
4786,ca,san francisco
4789,tn,
4790,ca,san diego
4793,ny,new york
4795,ca,los angeles
4799,nj,
4801,nj,
4802,tx,san antonio
4804,tx,
4809,ma,boston
4816,va,
4819,md,baltimore
4821,va,
4822,ca,los angeles
4825,il,chicago
4834,az,phoenix
4840,az,phoenix
4841,az,phoenix
4842,az,phoenix
4844,dc,washington
4849,ca,san francisco
4850,ca,san francisco
4851,ny,new york
4853,ca,los angeles
4855,dc,washington
4862,il,chicago
4867,tx,
4869,ny,
4885,ca,
4887,il,chicago
4888,il,chicago
4893,tx,
4896,ca,los angeles
4898,ca,san diego
4899,oh,
4900,wi,
4901,tx,houston
4903,ca,san francisco
4907,pa,
4908,ca,san jose
4913,ma,boston
4914,il,chicago
4919,de,
4922,ca,
4923,ca,los angeles
4924,sc,
4925,ny,new york
4927,ca,los angeles
4930,tx,dallas
4937,va,
4940,dc,washington
4945,fl,
4947,tx,austin
4948,tn,
4950,ma,
4952,tx,houston
4953,tx,houston
4965,ca,los angeles
4971,ct,
4973,ca,los angeles
4978,ca,san jose
4982,ca,
4987,mi,detroit
4988,ny,new york
4990,va,
4991,ca,
4992,wa,seattle
4993,ny,new york
4995,ca,
4996,ca,
5004,ca,san francisco
5005,ca,los angeles
5006,ca,
5009,wa,seattle
5011,ca,san francisco
5025,ca,
5032,ma,boston
5040,fl,
5049,dc,washington
5052,md,
5054,co,
5055,il,chicago
5060,ca,san diego
5064,ca,san francisco
5071,tx,houston
5075,ca,san diego
5077,in,indianapolis
5079,ca,san francisco
5080,mo,
5081,mo,
5083,ny,new york
5087,ny,new york
5088,ca,san francisco
5090,fl,
5097,tx,san antonio
5098,nj,
5102,nj,
5106,fl,
5110,ca,san francisco
5118,ny,new york
5119,fl,
5124,ga,
5134,ny,new york
5138,ny,new york
5140,ny,new york
5142,ca,
5143,ca,los angeles
5144,ca,
5145,ca,
5146,ca,
5148,ny,new york
5150,ca,san francisco
5156,ca,san diego
5158,ca,
5164,oh,columbus
5166,ca,
5168,ca,
5170,fl,
5172,ca,los angeles
5175,ny,new york
5178,co,
5183,ny,
5186,ny,
5188,ca,
5193,ny,new york
5195,ca,san francisco
5196,sc,
5197,ca,
5198,ca,san diego
5200,me,portland
5206,tx,dallas
5212,ca,los angeles
5213,ca,san francisco
5220,ca,
5221,va,
5235,il,
5237,ca,
5249,pa,philadelphia
5252,la,
5255,tx,dallas
5260,tx,
5266,ca,los angeles
5269,dc,washington
5273,tx,austin
5279,co,denver
5282,wa,seattle
5283,ca,los angeles
5290,fl,
5291,az,
5292,tn,memphis
5300,ca,los angeles
5303,fl,
5305,il,chicago
5308,mo,
5318,ma,boston
5321,tx,
5322,ca,
5324,dc,washington
5328,ny,new york
5331,co,denver
5333,co,denver
5337,ny,new york
5341,ct,
5348,ma,boston
5349,il,chicago
5350,ca,los angeles
5353,ca,
5357,pa,philadelphia
5358,il,chicago
