,STATE,CITY
46,ny,new york
48,pa,
81,ny,new york
85,fl,
87,ca,
93,ca,
94,ny,
95,ny,
96,ny,
97,ny,
102,ny,
104,ny,
105,ny,
106,ny,
107,ca,
108,ca,
109,ca,
110,ca,
111,ca,
112,ny,
113,ny,
115,ny,
116,ny,
119,ny,
120,ny,
122,ny,
124,mn,
128,ny,
129,ny,
134,ca,los angeles
141,ut,
157,oh,
158,ny,
163,ny,
168,ny,
170,ny,
172,ca,san francisco
174,ca,san francisco
184,tn,memphis
201,il,
212,ca,
215,sc,
219,tx,
221,tx,houston
225,tx,houston
236,nd,
244,ny,new york
254,nv,las vegas
259,ny,new york
264,ca,san diego
266,ca,
272,il,chicago
283,ga,
286,ga,
287,ny,new york
289,wa,seattle
306,ca,san diego
307,ca,san diego
314,wa,washington
316,tn,
320,ca,
321,il,chicago
327,ny,new york
332,ca,
333,ca,
334,ca,
335,ca,
336,ca,
337,ca,
338,ca,san diego
352,ca,san francisco
359,ny,
360,wa,seattle
369,ca,san diego
374,ny,
384,nv,las vegas
389,wa,washington
391,ca,san francisco
392,nc,
394,co,
395,ny,new york
424,nv,las vegas
429,mn,
437,al,
441,tx,dallas
443,fl,
445,ca,san francisco
447,ny,
450,tx,
451,tx,
457,ca,san francisco
460,ca,
467,ny,new york
479,ca,los angeles
488,tx,houston
504,ca,san francisco
512,fl,
518,nv,las vegas
519,ny,new york
521,tx,austin
523,wi,
525,il,chicago
550,ny,
551,ny,new york
557,ga,
558,il,chicago
565,oh,
573,ca,
574,ca,
575,ca,
576,ca,
578,ca,
585,fl,
589,tx,houston
591,tx,houston
592,il,chicago
612,wi,
616,mi,detroit
645,ny,new york
650,mo,
658,al,
663,nc,
664,ma,boston
677,ny,new york
687,nc,
699,hi,
700,ny,new york
712,tx,dallas
713,ca,
718,ca,
719,va,
724,ny,new york
727,ca,
729,oh,
731,ca,
732,az,
733,mi,
734,ca,
738,ca,los angeles
740,wa,washington
742,tx,
743,ca,
745,wa,washington
746,tx,
756,wa,washington
758,ca,los angeles
759,tx,
763,tx,houston
768,ca,san francisco
778,ca,san francisco
781,va,
792,il,chicago
793,tn,memphis
794,al,
795,al,
804,ny,new york
808,ca,
810,ca,los angeles
812,al,
816,tx,
826,la,los angeles
834,ny,new york
836,az,
837,ma,
842,al,
844,ca,san francisco
845,ca,san francisco
846,ny,new york
863,al,
872,pa,
874,me,
897,ny,new york
898,fl,
899,il,
903,tx,
909,ny,new york
935,tx,houston
936,ca,
939,ca,
955,ca,san francisco
966,ca,san francisco
968,ca,
975,ca,los angeles
977,ca,
981,ca,
987,ca,
990,tx,
1000,ca,los angeles
1002,ca,los angeles
1007,ca,los angeles
1008,ca,
1009,ca,
1010,ca,
1011,ca,
1012,ca,
1018,ca,los angeles
1020,ga,
1022,mi,detroit
1023,fl,
1024,ny,new york
1025,md,baltimore
1027,wa,washington
1028,ga,
1031,ca,san francisco
1032,ca,los angeles
1034,fl,
1039,nc,
1045,wa,seattle
1048,tx,houston
1053,wa,seattle
1054,ca,
1060,ca,san francisco
1062,mi,detroit
1066,ny,new york
1069,ca,san francisco
1070,il,chicago
1071,ca,los angeles
1072,ca,san francisco
1074,ca,
1075,ca,san francisco
1077,ca,san diego
1079,pa,
1092,pa,
1098,ca,los angeles
1100,ca,los angeles
1101,md,
1103,ca,
1104,ca,san diego
1105,ma,boston
1121,il,chicago
1124,ok,
1129,nv,las vegas
1132,co,
1134,wa,washington
1138,ca,san diego
1139,ca,san jose
1149,al,
1151,ca,los angeles
1159,wi,
1167,ca,san francisco
1174,ca,
1175,fl,
1180,wa,
1182,ca,los angeles
1183,co,
1190,wa,seattle
1192,ca,san francisco
1196,tx,houston
1197,nv,las vegas
1205,ca,san diego
1224,ga,
1227,co,
1247,ca,san francisco
1248,ca,
1256,il,chicago
1264,il,chicago
1265,il,chicago
1276,ut,
1286,wa,washington
1287,tx,austin
1289,ny,new york
1290,co,denver
1291,il,chicago
1307,ny,new york
1308,fl,
1321,ca,los angeles
1338,ca,los angeles
1345,va,
1350,nv,las vegas
1352,nv,las vegas
1353,nv,las vegas
1354,nv,las vegas
1355,nv,las vegas
1356,nv,las vegas
1357,nv,las vegas
1360,nv,las vegas
1366,hi,los angeles
1368,il,chicago
1370,ca,san francisco
1371,ca,
1372,ca,
1373,ca,
1374,ca,
1375,ca,
1376,il,chicago
1377,il,chicago
1379,ny,new york
1384,il,chicago
1390,wa,seattle
1392,il,chicago
1393,ca,
1394,ca,
1396,fl,
1398,il,chicago
1401,co,
1406,ny,
1408,il,chicago
1409,il,chicago
1410,il,chicago
1415,ny,new york
1416,ny,new york
1417,ga,
1418,ga,
1419,az,
1432,ok,
1436,ca,san francisco
1437,il,
1438,tx,houston
1449,ca,los angeles
1460,ca,los angeles
1464,al,
1469,or,
1488,il,chicago
1491,co,
1499,mi,
1501,ca,los angeles
1502,ga,
1510,il,chicago
1522,ca,
1538,pa,philadelphia
1545,sc,
1554,tx,austin
1556,pa,
1562,ny,new york
1587,ca,
1588,ca,san francisco
1589,nv,las vegas
1597,ny,new york
1613,tx,
1619,fl,
1623,fl,
1628,ca,san diego
1638,nv,las vegas
1640,pa,philadelphia
1645,ny,new york
1646,fl,
1647,ca,los angeles
1648,ca,san jose
1651,az,phoenix
1654,ak,
1656,va,
1659,va,
1662,ca,
1663,ca,los angeles
1664,ny,new york
1669,ny,
1670,ca,san francisco
1672,ny,new york
1673,fl,
1676,tx,
1679,fl,
1682,ca,los angeles
1693,tx,
1700,ok,
1713,ca,san jose
1714,ca,san francisco
1715,ca,
1717,ca,
1718,dc,washington
1734,co,denver
1735,il,chicago
1737,tx,
1742,ut,
1746,tx,
1752,ct,
1759,ca,san francisco
1775,ca,los angeles
1777,wa,washington
1784,ga,
1788,co,denver
1793,ca,san francisco
1799,nc,
1800,tx,dallas
1802,nc,
1808,ca,
1811,az,
1825,ma,
1827,ca,
1828,ca,
1829,ca,
1830,ca,
1831,ca,
1837,wa,washington
1839,tx,
1843,ny,new york
1845,fl,
1850,la,los angeles
1852,co,denver
1853,ma,
1857,ca,
1861,il,chicago
1874,la,los angeles
1880,ny,new york
1885,ga,
1896,wa,washington
1909,wi,milwaukee
1911,la,los angeles
1915,tx,houston
1916,tx,houston
1919,tx,houston
1920,ga,
1922,fl,
1926,fl,
1927,nj,
1929,il,chicago
1930,ca,san francisco
1932,wa,washington
1953,ny,new york
1965,wa,
1966,ca,san francisco
1970,ca,san diego
1973,ca,
1975,or,portland
1976,nj,
1982,tx,houston
1985,ny,new york
1987,wa,washington
1999,wa,washington
2007,fl,
2009,co,denver
2011,ca,los angeles
2021,nj,
2022,ca,san francisco
2030,fl,
2033,il,chicago
2036,tx,dallas
2039,in,indianapolis
2048,fl,
2055,ny,new york
2066,va,
2073,ca,los angeles
2078,nv,las vegas
2079,tx,austin
2081,tx,
2082,wa,seattle
2083,tx,
2088,tx,houston
2104,az,
2119,va,
2121,ca,los angeles
2137,ca,san francisco
2138,ny,new york
2145,ca,san francisco
2146,tx,houston
2148,tx,houston
2168,ca,
2169,mo,
2172,fl,
2173,ga,
2175,az,phoenix
2177,mi,detroit
2179,ca,san francisco
2182,ca,
2188,nv,las vegas
2190,ny,new york
2194,va,
2196,ny,new york
2204,fl,
2212,tn,memphis
2221,fl,
2227,va,
2232,va,
2233,fl,
2246,fl,
2248,na,
2250,tn,
2256,il,chicago
2269,ny,new york
2275,ca,
2290,ga,
2300,oh,
2301,co,denver
2304,tx,dallas
2306,fl,
2311,ny,
2319,ny,new york
2324,va,
2325,va,
2327,va,
2334,fl,
2336,ny,new york
2337,co,denver
2345,wi,
2347,ca,
2348,ca,
2349,ca,
2350,ca,
2352,ca,
2375,ca,los angeles
2384,ca,los angeles
2393,ca,
2394,ca,
2404,tx,
2413,md,
2415,az,
2419,ny,new york
2423,ny,
2428,ca,
2441,ny,
2449,pa,
2451,co,denver
2452,ny,new york
2455,wa,
2456,wa,seattle
2459,ny,new york
2464,ma,boston
2465,tx,dallas
2483,tx,austin
2486,tx,dallas
2498,tx,austin
2500,tx,austin
2502,tx,
2503,ny,new york
2506,tx,
2521,ny,
2529,tn,
2536,fl,
2538,ny,
2544,ma,boston
2550,ca,
2555,tx,houston
2557,wa,washington
2559,nc,
2561,ga,
2562,az,
2568,il,chicago
2571,il,chicago
2575,nj,
2577,sc,
2595,nd,
2598,tx,
2608,tx,dallas
2618,tx,dallas
2620,tx,dallas
2621,ny,new york
2625,tx,dallas
2627,tx,houston
2628,pa,philadelphia
2629,tx,
2632,ma,boston
2633,il,chicago
2641,fl,
2642,ma,boston
2643,nv,las vegas
2650,ok,
2658,ny,new york
2659,ny,new york
2660,nc,
2676,va,
2678,va,
2685,fl,
2687,pa,philadelphia
2692,pa,
2706,pa,
2723,ca,
2725,il,chicago
2730,ny,new york
2731,il,chicago
2737,az,phoenix
2767,fl,
2775,ny,new york
2777,nc,
2782,il,
2792,ny,new york
2798,ca,
2799,ca,
2800,ca,
2801,ca,
2803,ca,
2806,fl,
2820,ca,san francisco
2828,co,
2838,az,
2840,ky,
2853,ny,new york
2856,fl,
2860,fl,
2861,sc,
2863,co,denver
2866,co,denver
2868,co,denver
2870,co,denver
2871,co,denver
2873,co,denver
2874,co,denver
2875,co,denver
2877,tn,
2878,co,denver
2880,co,denver
2882,co,denver
2886,in,
2894,ny,new york
2902,co,denver
2907,co,denver
2909,co,denver
2913,co,denver
2914,co,denver
2917,co,denver
2934,ma,boston
2937,fl,
2939,fl,
2941,fl,
2954,fl,
2965,ca,
2977,tx,austin
2983,ny,new york
2993,ny,new york
2999,il,
3019,nc,
3024,ri,
3120,nc,charlotte
3136,ca,
3183,ca,
3184,ca,
3185,ca,
3186,ca,
3187,ca,
3194,ny,new york
3201,ny,new york
3202,ny,new york
3205,ny,new york
3208,ny,new york
3209,ny,new york
3213,ca,san francisco
3214,ny,new york
3216,ny,new york
3219,ny,new york
3252,co,
3280,ca,
3281,ca,los angeles
3323,va,
3343,nv,las vegas
3344,nv,las vegas
3383,ca,los angeles
3398,ga,
3399,ca,san francisco
3416,ca,
3417,ca,san francisco
3441,fl,
3451,tx,
3454,tx,
3462,tx,
3467,tx,
3470,fl,
3472,ny,new york
3473,tx,
3483,tx,
3484,fl,
3485,wa,washington
3487,fl,
