,STATE,CITY,KEYWORD,STATE,COUNTRY
0,ca,san francisco,vomiting,nd,USA
1,ca,los angeles,doctor,fl,USA
2,,,storm,co,USA
3,,,logo,nh,USA
4,,,spotify,sd,USA
5,,,logo,ny,USA
6,,,transforming,az,USA
7,nv,las vegas,uberx,ga,USA
8,nv,las vegas,uberx,nc,USA
9,nv,las vegas,sharing,ne,USA
10,nv,las vegas,lyft,tx,USA
11,nv,las vegas,havent,ms,USA
12,nv,las vegas,partner,de,USA
13,nv,las vegas,forbes,mt,USA
14,ny,new york,service,or,USA
15,,,,vi,USA
16,,,providenceri,ri,USA
17,,,logo,mn,USA
18,,,go,la,USA
19,,,promo,mi,USA
20,,,promo,md,USA
21,,,dryvyng,ks,USA
22,,,almost,al,USA
23,nv,las vegas,out,sc,USA
24,nv,las vegas,httpstcovxwkr4unah,ak,USA
25,nv,las vegas,startup,ca,USA
26,nv,las vegas,uberx,tn,USA
27,nv,las vegas,partner,hi,USA
28,nv,las vegas,logo,in,USA
29,nv,las vegas,logo,wi,USA
30,,,lyft,nm,USA
31,,,newsbreakslive,ky,USA
32,,,,gu,USA
33,,,,as,USA
34,,,drunk,ia,USA
35,wi,,10,pr,USA
36,,,,wy,USA
37,mi,detroit,lyft,il,USA
38,,,newsbreakslive,ar,USA
39,,,havent,wv,USA
40,,,promo,oh,USA
41,tx,houston,app,nj,USA
42,,,,mp,USA
43,,,edrelf,me,USA
44,,,logo,ct,USA
45,,,another,id,USA
46,,,sundance,ut,USA
47,,,promo,ok,USA
48,ca,los angeles,berniesanders,vt,USA
49,ut,,transforming,wa,USA
50,,,first,va,USA
51,,,lyft,ma,USA
52,ca,,news,nv,USA
53,,,lyft,pa,USA
54,,,pulling,na,USA
55,ca,,handylady,mo,USA
56,,,lyft,dc,USA
59,ca,,,,USA
61,de,,,,USA
62,ca,,,,USA
64,hi,,,,USA
66,ca,,,,USA
68,ca,,,,USA
69,ca,,,,USA
70,il,chicago,,,USA
73,ca,,,,USA
74,ca,,,,USA
78,il,chicago,,,USA
81,ny,new york,,,USA
99,tx,houston,,,USA
104,ca,,,,USA
112,ca,,,,USA
114,ca,san francisco,,,USA
117,mi,detroit,,,USA
119,ca,san francisco,,,USA
124,ca,,,,USA
135,ca,,,,USA
151,ca,,,,USA
157,ca,,,,USA
165,ca,,,,USA
168,ky,,,,USA
170,tx,,,,USA
171,ca,,,,USA
174,ca,san francisco,,,USA
179,tx,san antonio,,,USA
180,az,,,,USA
181,hi,,,,USA
213,tx,houston,,,USA
215,dc,washington,,,USA
229,ca,,,,USA
241,va,,,,USA
242,hi,,,,USA
244,tx,fort worth,,,USA
297,ny,,,,USA
300,ca,san francisco,,,USA
311,dc,washington,,,USA
315,la,los angeles,,,USA
316,az,phoenix,,,USA
318,az,phoenix,,,USA
319,ca,los angeles,,,USA
321,mi,,,,USA
323,nc,,,,USA
330,ma,boston,,,USA
332,hi,,,,USA
333,tx,houston,,,USA
338,tx,,,,USA
343,ca,,,,USA
344,tx,,,,USA
345,pa,,,,USA
346,ca,,,,USA
349,ca,,,,USA
350,ca,,,,USA
351,ca,,,,USA
352,ca,,,,USA
354,ca,,,,USA
355,la,,,,USA
356,ca,los angeles,,,USA
358,ca,los angeles,,,USA
360,ca,los angeles,,,USA
363,tx,houston,,,USA
364,hi,,,,USA
368,wa,seattle,,,USA
374,tx,,,,USA
378,de,,,,USA
395,pa,philadelphia,,,USA
402,hi,,,,USA
408,il,chicago,,,USA
410,wa,seattle,,,USA
414,ny,new york,,,USA
420,wa,seattle,,,USA
426,az,,,,USA
435,oh,,,,USA
436,ca,san francisco,,,USA
440,hi,,,,USA
451,ca,los angeles,,,USA
453,al,,,,USA
454,tx,austin,,,USA
457,ny,new york,,,USA
461,ny,,,,USA
463,ca,san diego,,,USA
465,tx,houston,,,USA
466,tx,houston,,,USA
470,ny,new york,,,USA
472,ca,,,,USA
476,tx,dallas,,,USA
479,co,,,,USA
484,or,,,,USA
485,il,chicago,,,USA
490,ny,,,,USA
493,co,denver,,,USA
494,co,denver,,,USA
495,co,denver,,,USA
496,va,,,,USA
514,dc,washington,,,USA
515,co,denver,,,USA
521,fl,,,,USA
522,ny,,,,USA
523,ny,,,,USA
529,ny,new york,,,USA
530,nc,,,,USA
534,il,chicago,,,USA
543,il,chicago,,,USA
544,ma,boston,,,USA
545,ky,,,,USA
552,nc,,,,USA
555,ny,new york,,,USA
560,nc,,,,USA
564,ca,san francisco,,,USA
565,nv,las vegas,,,USA
586,nv,las vegas,,,USA
587,ca,,,,USA
588,ca,,,,USA
589,ca,,,,USA
592,ca,,,,USA
601,ca,,,,USA
607,ca,,,,USA
609,ca,,,,USA
612,ca,,,,USA
614,ca,,,,USA
615,ny,,,,USA
616,nm,,,,USA
619,ca,,,,USA
620,ca,,,,USA
621,ca,,,,USA
622,ca,,,,USA
623,ca,,,,USA
624,ca,,,,USA
626,ca,,,,USA
627,ca,,,,USA
628,ca,,,,USA
629,az,,,,USA
632,oh,columbus,,,USA
638,nj,,,,USA
639,ca,los angeles,,,USA
642,az,phoenix,,,USA
643,ca,san francisco,,,USA
647,nv,las vegas,,,USA
648,ca,,,,USA
650,ny,new york,,,USA
651,nv,las vegas,,,USA
652,al,,,,USA
657,ca,los angeles,,,USA
658,co,,,,USA
668,ca,san francisco,,,USA
674,tx,houston,,,USA
678,ny,,,,USA
680,ny,new york,,,USA
684,il,chicago,,,USA
685,ca,los angeles,,,USA
696,il,chicago,,,USA
697,ca,san diego,,,USA
705,il,chicago,,,USA
708,de,,,,USA
714,az,phoenix,,,USA
716,ca,san francisco,,,USA
717,ca,san diego,,,USA
718,co,denver,,,USA
719,ca,los angeles,,,USA
720,ca,los angeles,,,USA
721,ny,,,,USA
722,tx,,,,USA
725,ca,san francisco,,,USA
726,il,,,,USA
727,hi,,,,USA
729,ny,new york,,,USA
731,tn,,,,USA
733,ny,new york,,,USA
736,co,denver,,,USA
738,ma,boston,,,USA
739,il,chicago,,,USA
741,nj,,,,USA
744,md,baltimore,,,USA
754,tx,,,,USA
757,de,,,,USA
759,ca,,,,USA
760,ca,los angeles,,,USA
762,ct,,,,USA
770,ca,san diego,,,USA
773,ny,new york,,,USA
775,ny,,,,USA
776,ca,san diego,,,USA
780,ny,new york,,,USA
783,tx,houston,,,USA
792,or,portland,,,USA
794,il,,,,USA
795,ca,san francisco,,,USA
798,ma,,,,USA
801,nc,charlotte,,,USA
802,mn,,,,USA
804,la,los angeles,,,USA
805,la,los angeles,,,USA
806,mn,,,,USA
809,la,,,,USA
812,nh,,,,USA
816,ca,san francisco,,,USA
817,ca,san diego,,,USA
819,ca,los angeles,,,USA
820,ca,,,,USA
825,ny,new york,,,USA
828,ny,new york,,,USA
829,co,,,,USA
830,oh,,,,USA
831,ca,san francisco,,,USA
832,ny,new york,,,USA
834,hi,,,,USA
839,ca,,,,USA
840,tx,austin,,,USA
844,ny,new york,,,USA
847,ca,san francisco,,,USA
848,ny,new york,,,USA
852,ca,san francisco,,,USA
856,il,chicago,,,USA
885,ny,boston,,,USA
889,ca,,,,USA
891,ca,los angeles,,,USA
893,ca,san diego,,,USA
894,or,,,,USA
897,pa,philadelphia,,,USA
900,mo,,,,USA
901,ca,san diego,,,USA
903,dc,washington,,,USA
904,va,,,,USA
909,ca,,,,USA
911,ca,,,,USA
913,ma,boston,,,USA
914,wa,seattle,,,USA
915,ca,san francisco,,,USA
916,wi,,,,USA
917,ny,,,,USA
924,ca,,,,USA
933,co,denver,,,USA
934,co,denver,,,USA
938,va,,,,USA
942,ca,los angeles,,,USA
943,ca,,,,USA
944,ca,,,,USA
945,ca,,,,USA
946,ca,,,,USA
953,ca,,,,USA
960,wa,washington,,,USA
966,ny,new york,,,USA
969,ca,,,,USA
972,wa,washington,,,USA
974,ca,,,,USA
978,ca,,,,USA
984,ia,,,,USA
986,co,denver,,,USA
989,ca,los angeles,,,USA
990,hi,,,,USA
993,il,chicago,,,USA
994,ny,new york,,,USA
995,ca,,,,USA
1002,ca,,,,USA
1003,ca,,,,USA
1004,tx,san antonio,,,USA
1006,ca,los angeles,,,USA
1011,ca,san diego,,,USA
1012,hi,,,,USA
1014,tx,,,,USA
1016,ca,los angeles,,,USA
1017,ca,san diego,,,USA
1018,dc,washington,,,USA
1019,mo,,,,USA
1030,fl,,,,USA
1031,ca,san francisco,,,USA
1034,ny,new york,,,USA
1035,ca,san francisco,,,USA
1036,ny,new york,,,USA
1038,ca,san diego,,,USA
1041,tx,houston,,,USA
1042,ca,,,,USA
1043,or,portland,,,USA
1044,va,,,,USA
1047,dc,washington,,,USA
1050,hi,,,,USA
1052,ca,los angeles,,,USA
1057,az,phoenix,,,USA
1060,tx,,,,USA
1066,fl,,,,USA
1070,ny,new york,,,USA
1073,mn,,,,USA
1080,ga,,,,USA
1086,nc,,,,USA
1090,dc,washington,,,USA
1091,ny,new york,,,USA
1102,ca,,,,USA
1106,wa,,,,USA
1108,in,indianapolis,,,USA
1109,nv,las vegas,,,USA
1110,nv,las vegas,,,USA
1111,nv,las vegas,,,USA
1112,nv,las vegas,,,USA
1113,nv,las vegas,,,USA
1114,nv,las vegas,,,USA
1115,nv,las vegas,,,USA
1116,ca,san francisco,,,USA
1119,nv,las vegas,,,USA
1121,ma,boston,,,USA
1122,co,,,,USA
1124,ca,,,,USA
1125,dc,austin,,,USA
1130,ca,,,,USA
1131,dc,washington,,,USA
1132,md,,,,USA
1133,ca,,,,USA
1141,tx,fort worth,,,USA
1143,nv,las vegas,,,USA
1146,hi,,,,USA
1150,ny,philadelphia,,,USA
1152,ca,san francisco,,,USA
1155,or,,,,USA
1159,va,,,,USA
1167,ca,san diego,,,USA
1168,dc,washington,,,USA
1175,ca,los angeles,,,USA
1179,nc,,,,USA
1183,ca,san diego,,,USA
1188,ca,,,,USA
1190,tx,,,,USA
1193,ma,boston,,,USA
1194,ca,,,,USA
1197,md,,,,USA
1199,ca,,,,USA
1201,ma,boston,,,USA
1220,tx,,,,USA
1226,ny,new york,,,USA
1236,nc,,,,USA
1239,ca,los angeles,,,USA
1241,tx,,,,USA
1242,md,baltimore,,,USA
1247,ma,,,,USA
1249,ca,,,,USA
1251,nh,,,,USA
1257,tx,austin,,,USA
1258,il,chicago,,,USA
1262,dc,washington,,,USA
1263,hi,,,,USA
1265,ca,,,,USA
1276,nv,,,,USA
1277,nc,,,,USA
1279,nc,,,,USA
1280,ne,,,,USA
1283,tx,dallas,,,USA
1284,il,,,,USA
1286,mi,detroit,,,USA
1288,ny,new york,,,USA
1296,hi,,,,USA
1300,mi,detroit,,,USA
1309,ca,los angeles,,,USA
1310,ca,,,,USA
1315,ca,,,,USA
1316,tx,austin,,,USA
1318,ca,,,,USA
1320,ca,,,,USA
1321,in,,,,USA
1322,ny,philadelphia,,,USA
1324,fl,,,,USA
1327,dc,,,,USA
1338,ny,,,,USA
1340,hi,,,,USA
1342,ca,,,,USA
1343,ca,,,,USA
1344,ca,,,,USA
1345,ca,,,,USA
1346,ca,,,,USA
1347,ca,,,,USA
1353,va,,,,USA
1356,fl,jacksonville,,,USA
1359,ca,,,,USA
1360,fl,jacksonville,,,USA
1361,ca,,,,USA
1368,il,chicago,,,USA
1372,fl,,,,USA
1373,dc,washington,,,USA
1374,ca,,,,USA
1378,or,portland,,,USA
1380,ca,los angeles,,,USA
1385,il,chicago,,,USA
1404,ca,,,,USA
1420,ny,new york,,,USA
1426,co,denver,,,USA
1431,ga,,,,USA
1434,il,,,,USA
1437,wa,seattle,,,USA
1440,ca,,,,USA
1443,nj,,,,USA
1450,hi,,,,USA
1451,tx,austin,,,USA
1452,tx,austin,,,USA
1453,tx,,,,USA
1485,ca,los angeles,,,USA
1488,ca,,,,USA
1491,tx,,,,USA
1492,hi,,,,USA
1496,ny,,,,USA
1501,ca,san francisco,,,USA
1504,ca,,,,USA
1510,tx,,,,USA
1511,wa,seattle,,,USA
1519,nv,las vegas,,,USA
1529,nv,las vegas,,,USA
1535,ca,,,,USA
1539,wa,seattle,,,USA
1541,ny,,,,USA
1544,ga,,,,USA
1550,ma,boston,,,USA
1551,nj,,,,USA
1552,ca,,,,USA
1553,ca,,,,USA
1555,tx,,,,USA
1566,il,chicago,,,USA
1567,tx,,,,USA
1569,tx,houston,,,USA
1577,fl,jacksonville,,,USA
1584,il,,,,USA
1585,nj,,,,USA
1590,dc,washington,,,USA
1598,ca,san francisco,,,USA
1603,ny,,,,USA
1604,ny,,,,USA
1605,ct,,,,USA
1606,ca,,,,USA
1607,ny,new york,,,USA
1610,ct,,,,USA
1615,wa,,,,USA
1617,ca,san diego,,,USA
1621,md,baltimore,,,USA
1623,ca,los angeles,,,USA
1624,ny,new york,,,USA
1625,tn,memphis,,,USA
1626,ut,,,,USA
1627,tx,san antonio,,,USA
1628,tx,dallas,,,USA
1629,in,indianapolis,,,USA
1630,ca,,,,USA
1631,ny,new york,,,USA
1632,az,phoenix,,,USA
1633,oh,,,,USA
1634,pa,philadelphia,,,USA
1635,az,phoenix,,,USA
1636,fl,,,,USA
1637,mo,,,,USA
1639,la,los angeles,,,USA
1640,ne,,,,USA
1641,mn,,,,USA
1642,mn,,,,USA
1644,al,,,,USA
1645,nc,charlotte,,,USA
1646,wi,milwaukee,,,USA
1647,ok,,,,USA
1648,ny,new york,,,USA
1649,wi,milwaukee,,,USA
1650,dc,washington,,,USA
1651,ok,,,,USA
1652,ny,,,,USA
1653,co,denver,,,USA
1654,ny,new york,,,USA
1655,fl,,,,USA
1656,tx,houston,,,USA
1657,il,chicago,,,USA
1658,ca,los angeles,,,USA
1659,ma,boston,,,USA
1660,ga,,,,USA
1662,ma,boston,,,USA
1663,mi,detroit,,,USA
1664,ca,,,,USA
1665,mo,,,,USA
1666,tx,,,,USA
1667,il,chicago,,,USA
1668,co,denver,,,USA
1669,tn,,,,USA
1670,ca,los angeles,,,USA
1672,mi,detroit,,,USA
1673,oh,,,,USA
1674,pa,philadelphia,,,USA
1675,dc,washington,,,USA
1676,ga,,,,USA
1677,ca,los angeles,,,USA
1678,ca,,,,USA
1679,il,chicago,,,USA
1680,ny,new york,,,USA
1681,fl,,,,USA
1682,tx,houston,,,USA
1683,ut,,,,USA
1684,ca,,,,USA
1685,ca,los angeles,,,USA
1688,fl,jacksonville,,,USA
1689,ga,,,,USA
1690,ks,,,,USA
1691,fl,,,,USA
1692,sc,,,,USA
1693,ms,,,,USA
1694,nc,charlotte,,,USA
1695,fl,,,,USA
1696,ma,boston,,,USA
1697,tx,austin,,,USA
1698,va,,,,USA
1699,or,,,,USA
1700,wa,seattle,,,USA
1701,wv,,,,USA
1702,sc,,,,USA
1703,la,los angeles,,,USA
1704,ia,,,,USA
1705,tn,,,,USA
1706,mi,,,,USA
1707,mi,,,,USA
1708,ny,new york,,,USA
1709,id,,,,USA
1711,pa,,,,USA
1712,nj,,,,USA
1713,al,,,,USA
1714,nc,,,,USA
1715,ny,,,,USA
1716,in,,,,USA
1717,tx,,,,USA
1718,wi,,,,USA
1719,pa,philadelphia,,,USA
1721,ny,new york,,,USA
1722,ny,new york,,,USA
1723,ny,new york,,,USA
1727,ny,new york,,,USA
1728,ny,new york,,,USA
1732,pa,philadelphia,,,USA
1736,hi,,,,USA
1745,tx,austin,,,USA
1752,tx,austin,,,USA
1754,ca,los angeles,,,USA
1759,ca,,,,USA
1764,nc,,,,USA
1767,ca,los angeles,,,USA
1768,tx,austin,,,USA
1774,ca,,,,USA
1783,fl,,,,USA
1796,fl,,,,USA
1798,ca,,,,USA
1803,ca,,,,USA
1805,mi,,,,USA
1806,mi,,,,USA
1807,mi,,,,USA
1812,ca,,,,USA
1813,ca,,,,USA
1814,fl,,,,USA
1822,ca,san francisco,,,USA
1823,ny,new york,,,USA
1834,tx,houston,,,USA
1837,ny,new york,,,USA
1839,dc,washington,,,USA
1840,tx,austin,,,USA
1841,nv,las vegas,,,USA
1844,ca,,,,USA
1846,pa,,,,USA
1852,ca,,,,USA
1853,ca,,,,USA
1860,co,denver,,,USA
1862,ca,los angeles,,,USA
1863,ca,los angeles,,,USA
1872,ny,philadelphia,,,USA
1877,ca,san francisco,,,USA
1882,ca,los angeles,,,USA
1885,tx,austin,,,USA
1888,ca,,,,USA
1897,ca,,,,USA
1901,ny,new york,,,USA
1917,ca,,,,USA
1926,ca,,,,USA
1931,hi,,,,USA
1939,ny,new york,,,USA
1941,md,,,,USA
1946,ny,new york,,,USA
1948,ca,,,,USA
1949,ca,,,,USA
1950,ca,,,,USA
1951,ca,,,,USA
1953,ca,,,,USA
1954,ny,new york,,,USA
1955,md,baltimore,,,USA
1957,tx,,,,USA
1964,in,,,,USA
1968,ct,,,,USA
1973,tx,dallas,,,USA
1983,il,chicago,,,USA
1999,ca,san francisco,,,USA
2000,il,chicago,,,USA
2019,md,baltimore,,,USA
2024,tx,austin,,,USA
2030,mi,detroit,,,USA
2035,fl,,,,USA
2038,pa,,,,USA
2052,tx,,,,USA
2054,tn,,,,USA
2055,tx,austin,,,USA
2059,pa,philadelphia,,,USA
2068,mi,detroit,,,USA
2071,ma,boston,,,USA
2072,mn,,,,USA
2075,ma,boston,,,USA
2077,tx,austin,,,USA
2078,ca,,,,USA
2089,dc,washington,,,USA
2093,fl,,,,USA
2094,oh,,,,USA
2097,ca,san francisco,,,USA
2103,oh,,,,USA
2112,ca,,,,USA
2117,ca,,,,USA
2120,wa,seattle,,,USA
2124,dc,washington,,,USA
2133,ca,,,,USA
2138,ca,san francisco,,,USA
2143,ca,los angeles,,,USA
2147,tx,austin,,,USA
2151,hi,,,,USA
2152,la,,,,USA
2153,tx,,,,USA
2154,hi,,,,USA
2156,tx,san antonio,,,USA
2157,tx,san antonio,,,USA
2161,ny,new york,,,USA
2170,tx,,,,USA
2174,nv,las vegas,,,USA
2175,co,denver,,,USA
2178,hi,,,,USA
2179,oh,,,,USA
2184,ca,,,,USA
2188,ca,,,,USA
2192,ca,,,,USA
2195,ca,,,,USA
2200,ca,,,,USA
2206,co,denver,,,USA
2214,ct,,,,USA
2215,tx,,,,USA
2216,ct,,,,USA
2217,ny,,,,USA
2220,ny,,,,USA
2221,ny,,,,USA
2236,wi,,,,USA
2239,nv,,,,USA
2240,ca,san diego,,,USA
2241,ca,,,,USA
2244,md,baltimore,,,USA
2246,fl,jacksonville,,,USA
2252,ca,san diego,,,USA
2254,il,,,,USA
2258,tx,dallas,,,USA
2262,tx,austin,,,USA
2263,mi,,,,USA
2264,ga,,,,USA
2265,tx,,,,USA
2279,ca,los angeles,,,USA
2282,tx,san antonio,,,USA
2288,ca,,,,USA
2290,ny,new york,,,USA
2292,ca,,,,USA
2295,dc,washington,,,USA
2312,ca,,,,USA
2313,ga,,,,USA
2321,nv,,,,USA
2322,tx,,,,USA
2324,ca,,,,USA
2330,oh,,,,USA
2333,il,chicago,,,USA
2338,ca,san jose,,,USA
2341,ny,new york,,,USA
2347,mi,detroit,,,USA
2350,tx,,,,USA
2352,fl,,,,USA
2355,ny,new york,,,USA
2357,hi,,,,USA
2360,tn,,,,USA
2365,md,,,,USA
2370,ga,,,,USA
2379,ca,,,,USA
2382,ca,,,,USA
2388,ca,los angeles,,,USA
2395,ca,san jose,,,USA
2398,dc,washington,,,USA
2401,pa,philadelphia,,,USA
2402,ga,,,,USA
2404,il,chicago,,,USA
2410,oh,,,,USA
2415,tx,,,,USA
2420,va,,,,USA
2421,mo,,,,USA
2437,md,baltimore,,,USA
2455,ny,,,,USA
2473,ny,new york,,,USA
2474,ca,,,,USA
2477,ny,new york,,,USA
2478,hi,,,,USA
2479,ca,,,,USA
2480,ca,,,,USA
2481,ca,,,,USA
2482,ca,,,,USA
2484,ca,,,,USA
2488,nc,charlotte,,,USA
2492,ca,los angeles,,,USA
2493,va,,,,USA
2497,pa,,,,USA
2498,ma,boston,,,USA
2499,ms,,,,USA
2500,il,chicago,,,USA
2506,ma,boston,,,USA
2519,tn,,,,USA
